Tweet,Sentiment
"RT MaximeBernier There aren’t enough illegal migrants in Canada, so the Liberals have reopened Roxham road Will Trudeau tweet again to i…",negative
RT MrStache9 The House just gave a standing ovation for the new Speaker Trudeau and Freeland and a another one or two did not stand,neutral
